categorie,question,reponse,conseil
Crédit,assurance agricole prix,"Prime 2–4 % valeur assurée, subvention 50–80 %.","Couvre sécheresse, chenille, inondation."
Météo,meteo ouaga demain,"Demain à Ouagadougou : 36°C, ciel clair, vent harmattan léger.","Parfait pour le séchage du coton."
Météo,pluie bobo cette semaine,"Pluies résiduelles possibles jusqu’au 15 novembre dans les Cascades.","Attention aux inondations bas-fonds."
Météo,alerte secheresse sahel,"Poche de sécheresse Dori-Djibo → irrigation goutte-à-goutte obligatoire pour niébé.","Surveille les prévisions tous les jours."
Céréales,"Quelle est la meilleure période pour semer le mil ?","La période idéale pour semer le mil est de juin à juillet, avec les premières pluies. Densité recommandée : 10-15 kg/ha."
Céréales,"Comment lutter contre les insectes du stockage du maïs ?","Utiliser des insecticides autorisés (Neem, cendre) et stocker dans des sacs hermétiques. Vérifier régulièrement les stocks."
Céréales,"Quel est le prix moyen du sac de maïs de 100kg à Ouagadougou ?","Entre 15 000 et 20 000 FCFA selon la saison (moins cher après récolte, plus cher en période de soudure)."
Légumes,"Comment contrôler la mouche blanche sur les tomates ?","Utiliser du savon insecticide ou des extraits de neem. Éviter la sur-fertilisation azotée."
Légumes,"Quelle variété de gombo résiste à la sécheresse ?","La variété 'Soungnou' est recommandée pour sa tolérance au stress hydrique."
Légumes,"Quel est le prix du kilo de tomates au marché de Bobo ?","Entre 300 et 600 FCFA selon la saison (plus cher en saison sèche)."
Élevage,"Comment prévenir la maladie de Newcastle chez les volailles ?","Vaccination obligatoire, isolement des nouveaux sujets, désinfection régulière du poulailler."
Élevage,"Quel aliment pour booster la ponte des poules locales ?","Mélange maïs + son + coquillages + verdure. Ajouter des vitamines si disponible."
Maraîchage,"Quelle technique d'irrigation économise l'eau ?","Le goutte-à-goutte ou les jarres poreuses permettent d'économiser 40-60% d'eau."
Sol et Fertilité,"Comment améliorer un sol sableux ?","Apport de compost (5-10 tonnes/ha), culture d'engrais verts (Mucuna, Crotalaire)."
Maladies Végétales,"Reconnaître l'anthracnose du niébé ?","Taches brunes sur feuilles et gousses. Traiter au Mancozèbe et utiliser des variétés résistantes."
Maladies Végétales,"Lutter contre la striure du maïs ?","Utiliser des variétés résistantes, éliminer les plants atteints, rotation des cultures."
Prix Marché,"Prix du sac d'oignons de 50kg à Koudougou ?","Entre 25 000 et 35 000 FCFA selon la période (récolte ou contre-saison)."
Prix Marché,"Prix du bœuf vif au kilo ?","1 200 à 1 500 FCFA selon l'état de l'animal et la région."
Techniques,"Comment fabriquer du compost en 45 jours ?","Mélanger déchets verts/fumier en tas, arroser et retourner chaque semaine."
Météo,"Quand planter avec les prévisions saisonnières ?","Début des pluies généralement en mai-juin. Consulter les bulletins météo de l'ANAM."
Coton,prix du coton 2025,"Prix officiel 2024-2025 : 325 FCFA/kg (1er choix), 300 FCFA/kg (2e choix). Paiement janvier-février 2026.","Ne vends jamais en dessous, attends le paiement officiel SOFITEX."
Coton,combien le coton cette année,"325 FCFA/kg en 1er choix – prix garanti par l’État.","Refuse les acheteurs qui proposent moins."
Coton,prix cotton bio,375 FCFA/kg pour le coton biologique certifié Ecocert.,"Il faut un cahier des charges strict."
Coton,quand semer le coton,"Semis du 15 mai au 15 juillet selon la région.","Centre/Est/Ouest dès mi-mai, Sahel attendre bonnes pluies début juillet."
Coton,date semis coton sahel,"Attends les pluies de juillet, jamais avant le 20 juin.","Sinon tu perds tout."
Coton,variete coton 2025,"STAM 89A (très haut rendement), FK37 (résistante fusariose), Irma P10.","Bt toujours interdit au Burkina."
Coton,meilleure variete coton,"STAM 89A fait 3,5 à 4 tonnes/ha avec zaï.","Demande à la coopérative."
Coton,chenille sur coton,"Puceron/jasside : savon noir + neem ou Mospilan 100 g/ha.","Pulvérise tôt le matin."
Coton,mouche capsule coton,"Surveiller fin septembre → Cyperméthrine + Profénofos.","SOFITEX traite gratuitement sur signalement."
Coton,mon coton jaunit qu'est ce que c'est,"Fusariose ou bactériose → rotation obligatoire + semences FK37.","Ne replante jamais coton sur coton."
Céréales,prix mais decembre 2025,"Maïs : 160–190 FCFA/kg selon région.","À Ouaga souvent 175 FCFA."
Céréales,prix sorgho,"Sorgho blanc 150–180 FCFA/kg, sorgho rouge brasserie jusqu’à 200 FCFA/kg.","Vise la brasserie pour meilleur prix."
Céréales,combien coûte le niébé,"350 à 450 FCFA/kg en décembre.","Très demandé au Niger."
Céréales,prix sesame cette année,"Sésame blanc : 900 à 1 100 FCFA/kg.","Les Chinois achètent tout."
Sol,comment proteger mon sol,"Zaï + 300 g fumier + micro-dose (2 g NPK + 1 g urée) par trou.","Le meilleur investissement du paysan."
Sol,quand faire le zai,"Creuse dès décembre-janvier pour profiter des premières pluies.","80 000–120 000 FCFA/ha la première année."
Sol,cordon pierreux distance,"Tous les 20–25 mètres en courbes de niveau.","Réduit le ruissellement de 70 %."
Sol,demi lune combien,"800 à 1 000 demi-lunes/ha.","1 m de diamètre, 20 cm profondeur."
Sol,biochar comment faire,"Paille de riz + feu couvert → charbon noir. 10 tonnes/ha une fois.","Dure 10 ans."
Président,discours president agriculture,"« Un peuple qui ne produit pas sa nourriture est esclave. » – Capitaine Ibrahim Traoré.","Vision souveraineté alimentaire."
Président,traore dit quoi,"« L’agriculture est notre arme contre la faim et l’impérialisme. »","28 septembre 2025."
Élevage,bœufs maigrissent,"Vermifuge tous les 3 mois : Ivermectine 1 ml/50 kg.","Bloc à lécher aussi."
Élevage,poulet tousse,"Maladie de Newcastle → vaccin La Sota ou Nobilis dès 1 semaine.","500 FCFA les 100 doses."
Élevage,mouton gale,"Ivermectine injectable + badigeon Amitraz.","En 15 jours plus rien."
Élevage,vache avorte,"Brucellose ou toxoplasmose → analyse LNERV Kamboinsin.","10 000 FCFA l’analyse."
Élevage,engraisser bœuf,"Tourteau coton + son maïs + urée + sel = +100 kg en 90 jours.","Vente Tabaski 800 000 FCFA."
Élevage,aliment poulet maison,"Maïs 60 % + tourteau arachide 20 % + son + coquille huître + prémix.","2,5 kg en 45 jours."
Élevage,porc peste,"Déclaration obligatoire → vaccin gratuit en foyer.","Appelle le vétérinaire immédiatement."
